Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-000402,2018-01,01/01/2018 01:00,Y, , ,1, , 41013,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3720,LACLEDE AVE,37, , ,3720,LACLEDE,894906.8,1020188
18-000084,2018-01,01/01/2018 01:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4876,WOODSTOCK AVE,76, , ,4876,WOODSTOCK,888266.9,1043956
18-000317,2018-01,01/01/2018 01:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5832,GOENER AVE,5, , ,5832,GOENER,884634.1,998535.5
18-000281,2018-01,01/01/2018 01:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",1000,S VANDEVENTER AVE,28,SHA SHI LOUNGE, ,1000,VANDEVENTER,892328.9,1017680
18-000613,2018-01,01/01/2018 01:02,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3401,GOODFELLOW BLVD,50, , ,3401,GOODFELLOW,884807.3,1037849
18-001742,2018-01,01/01/2018 01:07,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4226,HARRIS AVE,68, , ,4226,HARRIS,898471.6,1034126
18-000222,2018-01,01/01/2018 01:08,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4645,NATURAL BRIDGE AVE,69, ,FRONT YARD,4645,NATURAL BRIDGE,893657.6,1033915
18-000029,2018-01,01/01/2018 01:15,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",14,MARYLAND PLZ,38, ,@BAR- BAR LOUIE,14,MARYLAND,888340.1,1023682
18-000219,2018-01,01/01/2018 01:18,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3459,NEBRASKA AVE,19, ,GANGWAY,3459,NEBRASKA,896531.2,1004696
18-000026,2018-01,01/01/2018 01:18,Y, , ,1, , 52212,3,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,4140,S BROADWAY,16,WALGREENS,@WALGREENS - BROADWAY AND GASCONADE,4140,BROADWAY,897819.1,1000267
18-000437,2018-01,01/01/2018 01:25,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4121,MANCHESTER AVE,39, ,@BAR-SIAM,4121,MANCHESTER,891310.8,1017606
18-000021,2018-01,01/01/2018 01:25,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4121,MANCHESTER AVE,39, ,@BAR- NOVAKS,4121,MANCHESTER,891310.8,1017606
18-000207,2018-01,01/01/2018 01:27,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5322,NORTHLAND AVE,50, , ,5322,NORTHLAND,887352.6,1033440
18-000025,2018-01,01/01/2018 01:30,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1383,CLARA AVE,78,FORD ELEMENTARY SCHOOL, , , ,883395.2,1031859
18-000199,2018-01,01/01/2018 01:30,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,1000,SPRUCE ST,35,WHEELHOUSE BAR, ,1000,SPRUCE,906666.7,1015976
18-000052,2018-01,01/01/2018 01:45,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1609,S 13TH ST,33, , ,1609,13TH,904149.1,1012541
18-001740,2018-01,01/01/2018 01:54,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4411,HARRIS AVE,68, , ,4411,HARRIS,898675.8,1034722
18-000087,2018-01,01/01/2018 01:54,Y, , ,1, ,242000,5,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,5228,THEODOSIA AVE,52, , ,5228,THEODOSIA,887125.9,1031636
18-000033,2018-01,01/01/2018 02:30,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,220,S TUCKER BLVD,35,MAURIZIO S,@MAURIZIO S, , ,906262.9,1016703
18-000078,2018-01,01/01/2018 02:32,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",711,N BROADWAY,35,DRURY INN,ROOM 529,711,BROADWAY,909211,1018825
18-000082,2018-01,01/01/2018 02:44,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,8317,CHURCH RD,74, , ,8317,CHURCH,896355.2,1048562
18-000036,2018-01,01/01/2018 02:52,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,MCKINLEY BRIDGE,64, ,@MCKINLEY BRIDGE, , ,906848.7,1030376
18-001177,2018-01,01/01/2018 02:53,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,1515,N KINGSHIGHWAY BLVD,52, ,@WOHL REC CENT,1515,KINGSHIGHWAY,887936,1031116
18-000472,2018-01,01/01/2018 03:20,Y, , ,1, , 44013,4,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",1025,SPRUCE ST,35,WHEEL HOUSE, ,1000,SPRUCE,906589.4,1016244
18-000173,2018-01,01/01/2018 03:27,Y, , ,1, ,266510,2,PUBLIC ORDER-TRESPASSING,5320,ELIZABETH AVE,12, , ,5320,ELIZABETH,884090.5,1012226
18-000038,2018-01,01/01/2018 03:51,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,S 4TH ST / CHOUTEAU AVE,34, , , , ,908014.1,1013728
18-000039,2018-01,01/01/2018 03:56,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,360,N SKINKER BLVD,46, , , , ,877207.4,1026148
18-000044,2018-01,01/01/2018 04:00,Y, , ,1, , 41014,5,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,4919,SUBURBAN TRACKS ST,53, , ,4919,SUBURBAN TRACKS,888498,1027246
18-000044,2018-01,01/01/2018 04:00,Y, , ,1, , 41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4919,SUBURBAN TRACKS ST,53, , ,4919,SUBURBAN TRACKS,888498,1027246
18-000037,2018-01,01/01/2018 04:00,Y, , ,1, ,243300,3,DISORDERLY CONDUCT-OTHR DSTRB/UNNEC NOISE,3621,MINNESOTA AVE,19, , ,3621,MINNESOTA,895724.4,1003861
18-000040,2018-01,01/01/2018 04:27,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4049,S SPRING AVE,16, , ,4060,SPRING,891834.3,1001692
18-000042,2018-01,01/01/2018 06:14,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,0,S 38TH ST / EICHELBERGER ST,3, , , , ,889760.4,997473.3
18-000047,2018-01,01/01/2018 06:28,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,1111,N 11TH ST,62, , ,1111,11TH,907754.4,1020699
18-001528,2018-01,01/01/2018 07:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",4142,JUNIATA ST,15, , ,4142,JUNIATA,889639.9,1008079
18-000056,2018-01,01/01/2018 07:32,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5461,DELMAR BLVD,49, , ,5461,DELMAR,883561.5,1027076
18-000157,2018-01,01/01/2018 08:00,Y, , ,1, , 71030,5,AUTO THEFT-PERM RETNT/JOY RIDE,5548,WATERMAN BLVD,47, , ,5548,WATERMAN,883046.4,1025252
18-004642,2018-01,01/01/2018 08:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,600,N KINGSHIGHWAY BLVD,38, , ,600,KINGSHIGHWAY,887891.8,1025894
18-000205,2018-01,01/01/2018 08:00,Y, , ,1, , 51112,2,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3805,MCDONALD AVE,15, , ,3805,MCDONALD,892414.4,1006218
18-000058,2018-01,01/01/2018 08:57,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,4056,OHIO AVE,16, , , , ,897412.3,1000611
18-000133,2018-01,01/01/2018 09:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3431,UNION BLVD,50,SCHNUCKS - PLAZA ON UNION, ,3431,UNION,888884.8,1036000
18-000898,2018-01,01/01/2018 09:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4060,TAFT AVE,5, , ,4060,TAFT,888440.4,1001698
18-000059,2018-01,01/01/2018 09:25,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4650,MICHIGAN AVE,17, , ,4618,MICHIGAN,894496.6,997069.1
18-000064,2018-01,01/01/2018 09:50,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,2900,N PRAIRIE AVE,59,URBAN K LIFE, ,3802,LABADIE,898926.6,1028260
18-000145,2018-01,01/01/2018 10:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,0,CONVENTION PZ / N TUCKER BLVD,35, , ,721,TUCKER,906992.1,1019584
18-000255,2018-01,01/01/2018 10:14,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",1342,MONTCLAIR AVE,78,MINERVA PLACE APARTMENTS, ,1342,MONTCLAIR,883723.4,1031194
18-000069,2018-01,01/01/2018 10:28,Y, , ,1, ,115200,3,FRAUD-STEALING BY DECEIT/UNDER $150,3150,S GRAND BLVD,25,@ ROOSTER, ,3150,GRAND,893905,1007810
18-000075,2018-01,01/01/2018 10:30,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1525,N GRAND,59, ,APPROXIMATE ADDRESS IN ALLEY,919,JEFFERSON,0,0
18-000394,2018-01,01/01/2018 10:30,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,1,BARNES JEWISH HOSPITAL PLZ,38,BARNES-JEWISH HOSPITAL, ,1, ,887396.8,1020150
18-000067,2018-01,01/01/2018 10:43,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4705,NEBRASKA AVE,17, ,TOP FLOOR APT,4705,NEBRASKA,895680.4,997012.4
18-000072,2018-01,01/01/2018 10:53,Y, , ,1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,1619,KNAPP ST,60, , ,1636,19TH,904756.4,1024026
18-000108,2018-01,01/01/2018 11:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4110,FINNEY AVE,58, , ,4110,FINNEY,894416.9,1025260
18-000105,2018-01,01/01/2018 11:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,910,HARLAN AVE,74, , ,910,HARLAN,896598.1,1051860
18-000080,2018-01,01/01/2018 11:20,Y, , ,1, , 63701,4,LARCENY-SHOPLIFT UNDER $500,1400,N GRAND BLVD,59, , ,1400,GRAND,898337.4,1024456
18-000235,2018-01,01/01/2018 11:21,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3821,MINNESOTA AVE,16, ,REAR YARD,3821,MINNESOTA,895524.8,1002554
18-000632,2018-01,01/01/2018 11:30,Y, , ,1, , 51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3951,COOK AVE,58, , ,3951,COOK,895548.7,1025190
18-000090,2018-01,01/01/2018 11:30,Y, , ,1, , 51122,6,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,1529,ETON LN,73, ,SINGLE FAMILY RESIDENCE,1529,ETON,893321.3,1048657
18-000081,2018-01,01/01/2018 11:46,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,1804,ALLEN AVE,23, , ,1804,ALLEN,902184.7,1010891
18-003635,2018-01,01/01/2018 12:00,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1636,HORNSBY AVE,73, , ,1636,HORNSBY,893179.3,1050928
18-003804,2018-01,01/01/2018 12:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,6274,GOENER AVE,4, , ,6274,GOENER,883253.3,997600.8
18-001550,2018-01,01/01/2018 12:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3729,NEOSHO ST,16, , ,3729,NEOSHO,891348.3,999264.3
18-002353,2018-01,01/01/2018 12:00,Y, , ,1, , 43025,6,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,4128,TURNER AVE,68, , ,4128,TURNER,897282.6,1033878
18-000088,2018-01,01/01/2018 12:07,Y, , ,1, ,152200,2,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4030,RUSSELL AVE,27, , ,4030,RUSSELL,891771.3,1012537
18-000095,2018-01,01/01/2018 12:10,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4710,ALEXANDER ST,5, , ,4710,ALEXANDER,888884.3,999805.5
18-000458,2018-01,01/01/2018 13:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5017,MAPLE AVE,51, , ,5017,MAPLE,887903.4,1028966
18-000106,2018-01,01/01/2018 13:25,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",101,MORGAN ST,35, , , , ,910742.9,1018618
18-000111,2018-01,01/01/2018 13:40,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3645,PAGE BLVD,77, ,SAVE A LOT, , ,897714.3,1024471
18-000144,2018-01,01/01/2018 14:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,4012,ITASKA ST,5, , ,4012,ITASKA,888683.8,999992.3
18-000110,2018-01,01/01/2018 14:15,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,3453,UNION BLVD,50, , ,3453,UNION,888971.1,1035805
18-000113,2018-01,01/01/2018 14:20,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 6TH ST / LUCAS AVE,35, , , , ,909034.6,1018810
18-000143,2018-01,01/01/2018 14:22,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1551,S 7TH ST,21,SOCIAL HOUSE,@BAR- SOCIAL HOUSE,1551,7TH,905973.6,1011338
18-000112,2018-01,01/01/2018 15:02,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1624,CLARA AVE,50, , ,1624,CLARA,884649.2,1033379
18-000121,2018-01,01/01/2018 15:30,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,7626,VERMONT AVE,2, , ,7626,VERMONT,887920.1,989097.3
18-000162,2018-01,01/01/2018 15:40,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,1617,BURD AVE,50, , ,1617,BURD,884748.4,1033190
18-000131,2018-01,01/01/2018 15:40,Y, , ,1, , 71030,3,AUTO THEFT-PERM RETNT/JOY RIDE,3424,NEBRASKA AVE,19, , ,3424,NEBRASKA,896767.4,1004989
18-000126,2018-01,01/01/2018 15:55,Y, , ,1, , 41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,0,S BROADWAY / HICKORY ST,34, , , , ,907576.3,1012967
18-000238,2018-01,01/01/2018 16:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,4040,PECK ST,67, , ,4040,PECK,902200.5,1030729
18-002180,2018-01,01/01/2018 16:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,920,BAYARD AVE,53, ,VACANT RESIDENCE,920,BAYARD,889276.1,1027309
18-000245,2018-01,01/01/2018 16:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4235,RED BUD AVE,68, ,APT A,4235,RED BUD,897992.8,1034453
18-000243,2018-01,01/01/2018 16:07,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4629,MARGARETTA AVE,69, , ,4629,MARGARETTA,894264.2,1034662
18-000242,2018-01,01/01/2018 16:07,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4629,MARGARETTA AVE,69, , ,4629,MARGARETTA,894264.2,1034662
18-000127,2018-01,01/01/2018 16:16,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4354,CHIPPEWA ST,5, , ,4354,CHIPPEWA,887040.4,1003885
18-000128,2018-01,01/01/2018 16:20,Y, , ,1, ,182130,4,DRUGS-POSSESSION/HEROIN,0,N BROADWAY / PALM ST,64, , , , ,908250.8,1027467
18-000150,2018-01,01/01/2018 16:30,Y, , ,1, , 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3933,S BROADWAY,16, , ,3933,BROADWAY,897890.5,1001421
18-000294,2018-01,01/01/2018 16:30,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,8946,HALLS FERRY RD,74, , ,8946,HALLS FERRY,894778.1,1051331
18-000125,2018-01,01/01/2018 16:32,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5646,HILLER PL,76, , ,5600,HILLER,890883.1,1046884
18-000135,2018-01,01/01/2018 16:50,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,S 7TH ST / PARK AVE,20, , , , ,906962.2,1011960
18-000142,2018-01,01/01/2018 17:00,Y, , ,1, , 10000,5,HOMICIDE,5972,KENNERLY AVE,50,ON STREET,ON STREET,6101,KENNERLY,882481.3,1036161
18-000153,2018-01,01/01/2018 17:00,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5082,QUEENS AVE,71, , ,5082,QUEENS,893628.9,1039688
18-000142,2018-01,01/01/2018 17:00,Y, , ,1, , 10000,5,HOMICIDE,5972,KENNERLY AVE,50,ON STREET,ON STREET,6101,KENNERLY,882481.3,1036161
18-000134,2018-01,01/01/2018 17:10,Y, , ,1, , 51111,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED,6131,KINGSBURY AVE,46, , ,6131,KINGSBURY,878016.4,1026594
18-000154,2018-01,01/01/2018 17:30,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4949,BARNES JEWISH HOSPITAL PLZ,38, ,@HOSPITAL - BARNES JEWISH, , ,887396.8,1020150
18-000203,2018-01,01/01/2018 17:30,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,BREMEN AVE / N FLORISSANT AVE,65, , ,4000,FLORISSANT,904120,1029881
18-000140,2018-01,01/01/2018 17:50,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,661,N EUCLID AVE,38, , , , ,888628.4,1026138
